STATE/UT,YEAR,Pupose,Total No. of cases reported,Male upto 10 years,Female upto 10 years,Male 10-15 years,Female 10-15 years,Male 15-18 years,Female 15-18 years,Male 18-30 years,Female 18-30 years,Male 30-50 years,Female 30-50 years,Male above 50 years,Female above 50 years,Total Male,Total Female,Grand Total
Andhra Pradesh,2001,For Adoption,8,3,1,0,0,0,0,0,4,0,0,0,0,3,5,8
Andhra Pradesh,2001,For Begging,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
Andhra Pradesh,2001,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,For Illicit intercourse,78,0,2,0,25,0,24,0,25,0,2,0,0,0,78,78
Andhra Pradesh,2001,For marriage,339,0,0,0,73,1,164,6,91,0,4,0,0,7,332,339
Andhra Pradesh,2001,For Prostitution,36,0,0,0,1,0,17,0,16,0,2,0,0,0,36,36
Andhra Pradesh,2001,For Ransom,13,1,0,0,0,6,3,2,0,1,0,0,0,10,3,13
Andhra Pradesh,2001,For Revenge,47,3,0,4,1,4,7,11,4,12,1,0,0,34,13,47
Andhra Pradesh,2001,For Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2001,For unlawaful activity,164,1,0,3,1,19,5,54,52,26,5,2,0,105,63,168
Andhra Pradesh,2001,Others,495,9,3,3,4,34,45,145,156,82,11,3,0,276,219,495
Andhra Pradesh,2001,Total,1182,17,6,12,105,64,265,218,348,121,25,5,0,437,749,1186
Andhra Pradesh,2002,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2002,For Begging,6,1,0,0,0,0,0,4,1,0,0,0,0,5,1,6
Andhra Pradesh,2002,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2002,For Illicit intercourse,98,0,0,0,1,0,0,0,89,0,8,0,0,0,98,98
Andhra Pradesh,2002,For marriage,392,0,0,0,29,0,19,0,337,3,4,0,0,3,389,392
Andhra Pradesh,2002,For Prostitution,61,0,0,0,6,0,1,0,49,0,5,0,0,0,61,61
Andhra Pradesh,2002,For Ransom,8,1,0,1,0,0,1,4,0,1,0,0,0,7,1,8
Andhra Pradesh,2002,For Revenge,34,3,0,0,0,1,2,6,15,2,2,3,0,15,19,34
Andhra Pradesh,2002,For Sale,3,0,0,1,0,0,1,0,1,0,0,0,0,1,2,3
Andhra Pradesh,2002,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2002,For Slavery,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3
Andhra Pradesh,2002,For unlawaful activity,108,0,0,0,0,0,0,45,41,11,5,6,0,62,46,108
Andhra Pradesh,2002,Others,589,2,4,2,2,1,7,238,185,108,27,4,9,355,234,589
Andhra Pradesh,2002,Total,1302,7,4,4,38,2,31,297,721,125,51,13,9,448,854,1302
Andhra Pradesh,2003,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2003,For Begging,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Andhra Pradesh,2003,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2003,For Illicit intercourse,80,0,0,0,16,0,11,0,40,0,14,0,0,0,81,81
Andhra Pradesh,2003,For marriage,416,0,0,0,55,0,138,2,185,0,15,0,0,2,393,395
Andhra Pradesh,2003,For Prostitution,43,0,0,0,2,0,6,0,28,0,0,0,0,0,36,36
Andhra Pradesh,2003,For Ransom,7,0,1,2,1,0,0,2,1,0,0,0,0,4,3,7
Andhra Pradesh,2003,For Revenge,81,3,0,5,3,2,3,13,14,14,3,7,0,44,23,67
Andhra Pradesh,2003,For Sale,2,1,4,0,0,0,0,0,0,0,0,0,0,1,4,5
Andhra Pradesh,2003,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2003,For Slavery,62,0,0,1,2,0,0,41,18,0,0,0,0,42,20,62
Andhra Pradesh,2003,For unlawaful activity,319,0,0,15,3,10,5,112,87,55,56,0,0,192,151,343
Andhra Pradesh,2003,Others,474,12,4,11,2,36,18,128,145,70,50,12,0,269,219,488
Andhra Pradesh,2003,Total,1485,16,10,34,84,48,181,298,518,139,138,19,0,554,931,1485
Andhra Pradesh,2004,For Adoption,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Andhra Pradesh,2004,For Begging,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2004,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2004,For Illicit intercourse,102,0,2,0,11,0,12,0,68,0,8,0,1,0,102,102
Andhra Pradesh,2004,For marriage,388,0,1,0,53,0,80,6,230,6,12,0,0,12,376,388
Andhra Pradesh,2004,For Prostitution,30,0,0,0,0,0,5,0,25,0,0,0,0,0,30,30
Andhra Pradesh,2004,For Ransom,18,5,1,0,0,3,0,4,2,2,0,1,0,15,3,18
Andhra Pradesh,2004,For Revenge,87,4,4,2,0,4,6,23,7,24,2,11,0,68,19,87
Andhra Pradesh,2004,For Sale,5,2,0,0,2,0,0,0,1,0,0,0,0,2,3,5
Andhra Pradesh,2004,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2004,For Slavery,26,1,0,8,4,1,0,0,12,0,0,0,0,10,16,26
Andhra Pradesh,2004,For unlawaful activity,174,0,0,4,0,10,32,34,54,21,13,6,0,75,99,174
Andhra Pradesh,2004,Others,695,21,15,19,43,27,48,125,182,111,87,10,13,313,388,701
Andhra Pradesh,2004,Total,1526,33,23,33,113,45,183,193,581,164,122,28,14,496,1036,1532
Andhra Pradesh,2005,For Adoption,3,0,1,0,0,0,0,0,2,0,0,0,0,0,3,3
Andhra Pradesh,2005,For Begging,2,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2
Andhra Pradesh,2005,For Camel racing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2005,For Illicit intercourse,58,0,1,0,9,0,20,3,21,0,4,0,0,3,55,58
Andhra Pradesh,2005,For marriage,525,0,0,0,69,0,124,0,332,0,2,0,0,0,527,527
Andhra Pradesh,2005,For Prostitution,14,0,0,0,2,0,1,0,9,0,2,0,0,0,14,14
Andhra Pradesh,2005,For Ransom,18,1,0,4,0,1,0,11,0,1,0,0,0,18,0,18
Andhra Pradesh,2005,For Revenge,59,3,9,0,1,0,7,19,2,17,0,1,0,40,19,59
Andhra Pradesh,2005,For Sale,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Andhra Pradesh,2005,For Selling body parts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2005,For Slavery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2005,For unlawaful activity,168,2,0,0,0,3,0,59,59,46,4,0,0,110,63,173
Andhra Pradesh,2005,Others,764,17,9,21,13,20,11,212,192,157,78,19,15,446,318,764
Andhra Pradesh,2005,Total,1612,24,20,25,95,24,163,305,617,221,90,20,15,619,1000,1619
Andhra Pradesh,2006,For Adoption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,2006,For Begging,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
