STATE/UT,YEAR,GENDER,Upto 10 years,10-15 years,15-18 years,18-30 years,30-50 years,Above 50 years,Total
Andhra Pradesh,2001,Male,35,59,88,827,952,215,2176
Andhra Pradesh,2001,Female,38,15,43,269,175,67,607
Andhra Pradesh,2001,Total,73,74,131,1096,1127,282,2783
Arunachal Pradesh,2001,Male,0,0,0,31,32,4,67
Arunachal Pradesh,2001,Female,0,0,0,10,4,2,16
Arunachal Pradesh,2001,Total,0,0,0,41,36,6,83
Assam,2001,Male,17,30,169,577,368,67,1228
Assam,2001,Female,4,8,23,45,37,11,128
Assam,2001,Total,21,38,192,622,405,78,1356
Bihar,2001,Male,2,2,156,1484,1406,227,3277
Bihar,2001,Female,0,0,40,191,123,12,366
Bihar,2001,Total,2,2,196,1675,1529,239,3643
Chhattisgarh,2001,Male,30,12,30,341,553,142,1108
Chhattisgarh,2001,Female,38,14,38,214,182,63,549
Chhattisgarh,2001,Total,68,26,68,555,735,205,1657
Goa,2001,Male,1,0,0,11,10,2,24
Goa,2001,Female,0,0,0,4,8,1,13
Goa,2001,Total,1,0,0,15,18,3,37
Gujarat,2001,Male,50,11,18,335,416,87,917
Gujarat,2001,Female,57,9,8,132,131,26,363
Gujarat,2001,Total,107,20,26,467,547,113,1280
Haryana,2001,Male,24,11,47,291,264,38,675
Haryana,2001,Female,12,1,15,67,42,6,143
Haryana,2001,Total,36,12,62,358,306,44,818
Himachal Pradesh,2001,Male,3,0,1,29,42,8,83
Himachal Pradesh,2001,Female,1,1,1,11,19,6,39
Himachal Pradesh,2001,Total,4,1,2,40,61,14,122
Jammu & Kashmir,2001,Male,8,37,160,385,468,167,1225
Jammu & Kashmir,2001,Female,2,13,27,68,53,24,187
Jammu & Kashmir,2001,Total,10,50,187,453,521,191,1412
Jharkhand,2001,Male,4,3,121,470,482,136,1216
Jharkhand,2001,Female,0,0,39,126,102,24,291
Jharkhand,2001,Total,4,3,160,596,584,160,1507
Karnataka,2001,Male,42,9,36,450,434,130,1101
Karnataka,2001,Female,38,13,24,250,201,51,577
Karnataka,2001,Total,80,22,60,700,635,181,1678
Kerala,2001,Male,27,8,9,88,146,55,333
Kerala,2001,Female,36,5,8,25,58,24,156
Kerala,2001,Total,63,13,17,113,204,79,489
Madhya Pradesh,2001,Male,32,25,129,693,854,70,1803
Madhya Pradesh,2001,Female,41,13,37,281,219,31,622
Madhya Pradesh,2001,Total,73,38,166,974,1073,101,2425
Maharashtra,2001,Male,113,28,39,740,743,219,1882
Maharashtra,2001,Female,76,28,41,555,290,78,1068
Maharashtra,2001,Total,189,56,80,1295,1033,297,2950
Manipur,2001,Male,0,0,8,137,70,10,225
Manipur,2001,Female,2,0,0,2,3,1,8
Manipur,2001,Total,2,0,8,139,73,11,233
Meghalaya,2001,Male,0,0,0,112,50,1,163
Meghalaya,2001,Female,0,0,0,4,2,0,6
Meghalaya,2001,Total,0,0,0,116,52,1,169
Mizoram,2001,Male,0,0,3,8,6,2,19
Mizoram,2001,Female,0,0,0,9,3,0,12
Mizoram,2001,Total,0,0,3,17,9,2,31
Nagaland,2001,Male,0,1,3,64,36,3,107
Nagaland,2001,Female,0,0,2,0,0,0,2
Nagaland,2001,Total,0,1,5,64,36,3,109
Odisha,2001,Male,0,2,43,350,304,46,745
Odisha,2001,Female,0,0,13,140,81,26,260
Odisha,2001,Total,0,2,56,490,385,72,1005
Punjab,2001,Male,7,9,35,268,222,43,584
Punjab,2001,Female,3,1,21,90,77,11,203
Punjab,2001,Total,10,10,56,358,299,54,787
Rajasthan,2001,Male,10,14,32,389,481,101,1027
Rajasthan,2001,Female,8,4,15,108,81,32,248
Rajasthan,2001,Total,18,18,47,497,562,133,1275
Sikkim,2001,Male,1,0,0,7,3,2,13
Sikkim,2001,Female,0,0,0,1,5,0,6
Sikkim,2001,Total,1,0,0,8,8,2,19
Tamil Nadu,2001,Male,3,8,136,391,463,136,1137
Tamil Nadu,2001,Female,5,8,113,174,191,34,525
Tamil Nadu,2001,Total,8,16,249,565,654,170,1662
Tripura,2001,Male,0,6,15,90,100,20,231
Tripura,2001,Female,0,0,2,3,2,2,9
Tripura,2001,Total,0,6,17,93,102,22,240
Uttarakhand,2001,Male,2,3,3,52,184,27,271
Uttarakhand,2001,Female,2,2,1,72,29,4,110
Uttarakhand,2001,Total,4,5,4,124,213,31,381
Uttar Pradesh,2001,Male,29,93,189,3098,2726,722,6857
Uttar Pradesh,2001,Female,10,65,103,626,417,102,1323
Uttar Pradesh,2001,Total,39,158,292,3724,3143,824,8180
West Bengal,2001,Male,1,2,2,676,552,82,1315
West Bengal,2001,Female,0,0,1,213,132,12,358
West Bengal,2001,Total,1,2,3,889,684,94,1673
A&N Islands,2001,Male,0,1,0,3,3,0,7
A&N Islands,2001,Female,0,0,0,4,2,0,6
A&N Islands,2001,Total,0,1,0,7,5,0,13
Chandigarh,2001,Male,0,0,0,4,5,1,10
Chandigarh,2001,Female,0,0,0,1,1,3,5
Chandigarh,2001,Total,0,0,0,5,6,4,15
D&N Haveli,2001,Male,0,0,0,1,2,0,3
D&N Haveli,2001,Female,0,0,0,0,0,0,0
D&N Haveli,2001,Total,0,0,0,1,2,0,3
Delhi UT,2001,Male,13,10,12,231,128,28,422
Delhi UT,2001,Female,12,2,9,74,41,14,152
Delhi UT,2001,Total,25,12,21,305,169,42,574
Lakshadweep,2001,Male,0,0,0,0,0,0,0
Lakshadweep,2001,Female,1,1,0,0,0,0,2
Lakshadweep,2001,Total,1,1,0,0,0,0,2
Puducherry,2001,Male,0,0,0,5,7,3,15
Puducherry,2001,Female,0,0,1,5,4,0,10
Puducherry,2001,Total,0,0,1,10,11,3,25
Andhra Pradesh,2002,Male,7,3,10,949,826,194,1989
Andhra Pradesh,2002,Female,5,17,3,371,185,81,662
Andhra Pradesh,2002,Total,12,20,13,1320,1011,275,2651
Arunachal Pradesh,2002,Male,0,0,0,31,26,0,57
Arunachal Pradesh,2002,Female,0,0,0,3,1,0,4
Arunachal Pradesh,2002,Total,0,0,0,34,27,0,61
Assam,2002,Male,2,0,0,763,356,21,1142
Assam,2002,Female,0,0,0,64,43,4,111
Assam,2002,Total,2,0,0,827,399,25,1253
Bihar,2002,Male,4,3,3,1874,1395,155,3434
Bihar,2002,Female,3,0,2,242,144,6,397
Bihar,2002,Total,7,3,5,2116,1539,161,3831
Chhattisgarh,2002,Male,19,5,2,153,357,80,616
Chhattisgarh,2002,Female,5,2,2,111,82,26,228
Chhattisgarh,2002,Total,24,7,4,264,439,106,844
Goa,2002,Male,1,0,1,9,7,6,24
Goa,2002,Female,0,0,0,1,2,4,7
Goa,2002,Total,1,0,1,10,9,10,31
Gujarat,2002,Male,72,16,31,723,702,189,1733
Gujarat,2002,Female,57,25,11,252,182,67,594
Gujarat,2002,Total,129,41,42,975,884,256,2327
Haryana,2002,Male,4,8,4,336,271,32,655
Haryana,2002,Female,2,3,1,97,47,6,156
Haryana,2002,Total,6,11,5,433,318,38,811
Himachal Pradesh,2002,Male,3,1,2,36,43,13,98
Himachal Pradesh,2002,Female,2,0,2,19,10,1,34
Himachal Pradesh,2002,Total,5,1,4,55,53,14,132
Jammu & Kashmir,2002,Male,0,0,2,493,562,87,1144
Jammu & Kashmir,2002,Female,0,0,0,71,85,7,163
Jammu & Kashmir,2002,Total,0,0,2,564,647,94,1307
Jharkhand,2002,Male,2,1,2,495,444,238,1182
Jharkhand,2002,Female,1,1,1,140,107,56,306
Jharkhand,2002,Total,3,2,3,635,551,294,1488
Karnataka,2002,Male,11,3,4,480,480,131,1109
Karnataka,2002,Female,7,0,3,346,214,25,595
Karnataka,2002,Total,18,3,7,826,694,156,1704
Kerala,2002,Male,20,4,5,87,133,50,299
Kerala,2002,Female,44,5,2,31,46,27,155
Kerala,2002,Total,64,9,7,118,179,77,454
Madhya Pradesh,2002,Male,6,7,67,891,743,144,1858
Madhya Pradesh,2002,Female,2,5,7,258,194,71,537
Madhya Pradesh,2002,Total,8,12,74,1149,937,215,2395
Maharashtra,2002,Male,81,27,27,716,899,275,2025
Maharashtra,2002,Female,75,27,18,475,293,78,966
Maharashtra,2002,Total,156,54,45,1191,1192,353,2991
Manipur,2002,Male,0,0,0,123,80,5,208
Manipur,2002,Female,0,0,0,7,6,1,14
Manipur,2002,Total,0,0,0,130,86,6,222
Meghalaya,2002,Male,0,0,2,76,78,3,159
Meghalaya,2002,Female,1,0,0,3,20,1,25
Meghalaya,2002,Total,1,0,2,79,98,4,184
Mizoram,2002,Male,0,0,0,15,3,2,20
Mizoram,2002,Female,0,0,0,8,1,0,9
Mizoram,2002,Total,0,0,0,23,4,2,29
Nagaland,2002,Male,0,2,7,71,24,1,105
Nagaland,2002,Female,0,0,0,1,2,0,3
Nagaland,2002,Total,0,2,7,72,26,1,108
Odisha,2002,Male,2,2,0,378,372,48,802
Odisha,2002,Female,3,0,0,201,117,25,346
Odisha,2002,Total,5,2,0,579,489,73,1148
Punjab,2002,Male,3,3,2,245,334,44,631
Punjab,2002,Female,1,2,2,74,57,5,141
Punjab,2002,Total,4,5,4,319,391,49,772
Rajasthan,2002,Male,5,1,2,432,531,92,1063
Rajasthan,2002,Female,10,1,1,131,102,16,261
Rajasthan,2002,Total,15,2,3,563,633,108,1324
Sikkim,2002,Male,0,0,2,4,7,0,13
Sikkim,2002,Female,0,0,0,0,0,0,0
Sikkim,2002,Total,0,0,2,4,7,0,13
Tamil Nadu,2002,Male,11,4,2,512,543,197,1269
Tamil Nadu,2002,Female,18,8,2,259,165,66,518
Tamil Nadu,2002,Total,29,12,4,771,708,263,1787
Tripura,2002,Male,0,0,0,95,72,22,189
Tripura,2002,Female,0,0,0,10,2,0,12
