"STATE/UT","YEAR","DG/ ADG","IG","DIG","SSP/SP/ Ad.SP","ASP/ DySP","Insepctor","Sub Inspector","Asst. Sub Inspector","Head Constable","Below HC above Constable","Constables","TOTAL"
"ANDHRA PRADESH","2001",8,27,23,128,353,1140,3757,2906,12875,0,56629,77846
"ARUNACHAL PRADESH","2001",0,1,3,18,35,62,354,157,667,169,3932,5398
"ASSAM","2001",7,11,16,186,270,722,3411,1795,5664,3238,38025,53345
"BIHAR","2001",1,0,3,47,156,333,4236,3309,5018,259,32042,45404
"CHHATTISGARH","2001",0,4,0,29,81,143,703,505,3162,0,7585,12212
"GOA","2001",1,0,2,6,19,49,83,140,686,0,2671,3657
"GUJARAT","2001",17,21,17,70,222,791,1828,7418,9860,0,40094,60338
"HARYANA","2001",7,13,10,57,145,408,1014,2151,4825,0,23177,31807
"HIMACHAL PRADESH","2001",8,14,13,60,91,187,494,765,2069,2310,6119,12130
"JAMMU & KASHMIR","2001",4,14,21,161,369,679,2097,3006,9940,0,42746,59037
"JHARKHAND","2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KARNATAKA","2001",2,3,4,64,173,577,1659,2523,10956,0,34413,50374
"KERALA","2001",6,6,11,67,287,448,1715,1702,8624,0,30646,43512
"MADHYA PRADESH","2001",26,23,39,266,696,2148,4909,6908,17433,64855,0,97303
"MAHARASHTRA","2001",24,36,39,191,498,2352,6661,11391,25379,21070,63820,131461
"MANIPUR","2001",2,4,7,63,112,189,625,429,915,916,11285,14547
"MEGHALAYA","2001",2,5,3,32,40,112,420,494,689,296,6351,8444
"MIZORAM","2001",1,1,3,37,63,114,315,302,980,652,3908,6376
"NAGALAND","2001",3,5,7,46,45,61,346,196,1049,1192,8633,11583
"ODISHA","2001",7,13,17,126,221,576,2214,2613,3623,697,24779,34886
"PUNJAB","2001",14,20,18,167,387,554,1832,3943,11060,0,50247,68242
"RAJASTHAN","2001",6,13,21,183,380,806,2469,3351,8211,0,47947,63387
"SIKKIM","2001",3,7,2,28,29,61,249,0,0,3671,0,4050
"TAMIL NADU","2001",20,20,31,186,570,2460,5550,0,12111,27515,31782,80245
"TRIPURA","2001",2,4,9,44,134,160,748,406,1164,1074,11146,14891
"UTTAR PRADESH","2001",25,61,54,243,1002,1289,12016,0,21864,0,119679,156233
"UTTARAKHAND","2001",2,4,3,21,56,59,580,0,1592,0,9880,12197
"WEST BENGAL","2001",22,42,34,147,372,1270,6728,6767,4609,3593,59882,83466
"TOTAL (STATES)","2001",220,372,410,2673,6806,17750,67013,63177,185025,131507,767418,1242371
"A & N ISLANDS","2001",0,1,2,1,11,31,134,199,437,0,1976,2792
"CHANDIGARH","2001",0,1,1,3,12,51,251,187,831,0,2665,4002
"D & N HAVELI","2001",0,0,0,1,1,1,12,3,49,0,165,232
"DAMAN & DIU","2001",0,0,0,1,2,3,9,7,39,0,174,235
"DELHI","2001",4,16,7,65,269,982,3785,5544,13656,0,32122,56450
"LAKSHADWEEP","2001",0,0,0,1,1,4,18,26,60,0,214,324
"PUDUCHERRY","2001",0,1,0,2,17,34,67,23,218,0,1242,1604
"TOTAL (UTs)","2001",4,19,10,74,313,1106,4276,5989,15290,0,38558,65639
"TOTAL (ALL-INDIA)","2001",224,391,420,2747,7119,18856,71289,69166,200315,131507,805976,1308010
"ANDHRA PRADESH","2002",12,23,23,149,349,1143,3629,2881,13002,0,55575,76786
"ARUNACHAL PRADESH","2002",1,1,3,22,55,62,354,157,667,169,4229,5720
